id,question,answer,citations,status,notes
52,What instruction governs enlisted force structure?,"Authorizes wear of standard organizational clothing approved for Operational Safety, 
Suitability and Effectiveness by Air Force Material Command. Provides required organizational or functional items directed for wear at no cost to 
enlisted members. Processes requests for authorized allowance organizational or functional clothing 
items according to AFI 23 -101, Material Management Policy. Provides optional items 
directed for wear at no cost to officers. Prescribes wear of uniform during sporting events. Serves as delegated approval authority for dress and appearance religious 
accommodation requests as outlined in paragraph 11.3  of this instruction.",DAFI36-2903 — dafi36-2903 — section.tions. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
53,What policy governs officer career progression?,"Officer Career Development Briefs: 
Narrative Guidance 
Current as of 17 Jan 2023 
 
 
 
Disclaimer:   Career development briefs are generated by functional community 
leaders, coordinated with each MAJCOM , and approved by the SecAF on an 
annual basis. These briefs serve as reference material to educate mentors, 
hiring authorities, and promotion board members about various career fields. Briefs include typical career progres sion milestones, developmental guidance, 
and other unique considerations for officers within each core AFSC and/or 
functional community. These briefs ar e provided for career planning purposes; 
however, strict adherence to the career  progression norms and developmental 
guidance depicted is not a prerequisite fo r promotion. Promotion is based on 
performance and demonstrated potential to  serve in the next higher grade. To 
the extent that these briefs are inconsistent with the Secretary’s memorandum 
of instructions (MOI) to a promotio n board, the Secretary’s MOI will take 
precedence.",MSC Career Progression Chart-Narrative Guide (ao Jan 2023) — MSC Career Progression Chart-Narrative Guide (ao Jan 2023) — section.Officer Career Development Briefs: — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\MSC Career Progression Chart-Narrative Guide (ao Jan 2023).pdf,OK,Extracted from top-ranked chunks.
54,Who approves civilian position reclassification?,"el accommodations without medical certification. Premium Class Authority  
 Agencies  First Class  Business Class  
1 OSD and  Defense 
Agencies  Director of Administration and 
Management.*  Director of Administration and 
Management. May be delegated no lower than a three -star or civilian -
equivalent level. 2 Joint Staff  Joint Staff Director, or as delegated. Re-delegation may be no lower than a 
three -star major commander. Joint Staff Director, or as 
delegated.",JTR — JTR — section.el accommodations without medical certification. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF,OK,Extracted from top-ranked chunks.
55,What guidance governs overtime use in MTFs?,"Available FTEs are based on hours worked. Available FTEs are calculated by 
dividing available hours in a given work center by 168 (one FTE equals 168 hours). Actual 
hours should be reported to support a ll mission operations. Civilians are the only personnel 
category that has a capped hour requirement; the time reported on their civilian payroll 
timecard should always match what is reported in DMHRS i. Military personnel report all hours spent in support of mission requirements, incl uding 
work performed at home. (T-1)  Civilian personnel report approved overtim e/compensatory 
time.",AFI41-102 — afi41-102 — section.ard business rules. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-102.pdf,OK,Extracted from top-ranked chunks.
56,What instruction governs manpower standards for clinics?,"ealth professionals, technicians, and patients is a vital part 
of the practitioner’s future endeavors. Train ees should be given the opportunity to develop 
and practice their teaching skills in accordance with AFI 44 -104, Military and Civilian 
Consultant Program and Medical Enlisted Career Field Manager Program , while complying 
with off -duty employment restricti ons in accordance with AFI 44 -102, Medical Care 
Management . Special Training Facilities. Animal laboratories and supporting facilities may be required for 
professional training in the basic sciences, surgical proce dures, and research. These facilities 
are to be made available, properly equipped, and staffed in accordance with DHA -MSR 
6025.02_AFMAN 40 -401, The Care and Use of Animals in DoD  Research, Development, Test 
and Evaluation (RDT&E) or Training Programs . Follow the standards of the Department of 
Health and Human Services.","AFI41-117 — afi41-117 — section.ealth professionals, technicians, and patients is a vital part — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf",OK,Extracted from top-ranked chunks.
57,What policy governs civilian performance management?,"ity may waive the maximum 
according to DoD Component regulations. Property Management Services 
 
Property management services are intended to reduce the Government’s relocation costs by using 
these services instead of real estate allowances. Property management services also assist the civilian 
employee by offsetting costs associated with retaining a residence at the old PDS in the CONUS from 
which the civilian  employee  commuted daily to the old work location when transferred to duty locations 
OCONUS. The services include obtaining a tenant, negotiating the lease, inspecting the property 
regularly, m anaging repairs and maintenance, enforcing lease terms, collecting the rent, paying the 
mortgage and other carrying expenses from rental proceeds or the civilian  employee ’s escrow funds, 
accounting for the transactions, providing periodic reports to the civilian  employee . The civilian  employee or a member of the civilian  employee ’s immediate family 
must hold title to a residence that he or she would be eligible to sell at Government expense to receive property management services. New appointees, those assigned under the Governmen",JTR — JTR — section.ity may waive the maximum — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF,OK,Extracted from top-ranked chunks.
58,What guidance governs resource allocation to clinics?,"sed by clinic personnel managing enrolled patient 
population. 48 AFI41 -102  2 5 JUNE 2020  
Allocation Methodology:   FTEs reported in A, B, FBI, FBN, and FEA. ELAU -Utilization Management. This account is used to accumulate all the operating 
expenses incurred in implementing administering and performing the required documentation of 
Utilization Mana gement Activities. This is not to be used by AFMH clinic personnel managing 
enrolled patient population. Allocation Methodology:  FTEs reported in A and B FCCs.",AFI41-102 — afi41-102 — section.sed by clinic personnel managing enrolled patient — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-102.pdf,OK,Extracted from top-ranked chunks.
59,What instruction governs manpower audits?,"ts requiring USAFSAM OGME 
funding must be coordinated through USAFSAM/ OGME prior to final submission to the 
HPERB. The Air Force  Personnel Center, Corps Utilization & Education, will prepare annually 
a staffing analysis for each primary AFSC in support of the HPERB process. This analysis 
will contain gains from training and recruiting, and anticipated losses from retirements, 
separations, and training. ( Note :  Generally, the staffing analysis begins with the current year 
data and extends into future fiscal years to at least the impact year [year the trainee re -enters 
workforce after completing training] unless otherwise specifie d by AF SG1/8). The initial AFPC/DPMN review is done by the Utilization and Education Branch 
Chiefs for each corps to validate the training requirement relative to projected vacant billets 
that require education and training. The data gathered w ill assist with determining if other 
approaches should be employed to fill requirements (i.e., recruiting fully qualified candidates).",AFI41-117 — afi41-117 — section.ts requiring USAFSAM OGME — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf,OK,Extracted from top-ranked chunks.
60,What AFI governs Personnel Reliability Program administration?,"This instruction applies 
to USSF members unless and until separate service guidance is published. In this event, USSF 
guidance shall prevail in application to the USSF. Note:  All references to United States Air Force 
(USAF) terminology, units, grades, and positions will also apply to the equivalent in the USSF, as 
appropriate. For example, references to Airmen will also apply to Guardians. ( Exception: 
Allowance Standard 016, documented amount and type of organizational clothing and equipment 
items authorized for an organization by applicable commander). This instruction requires the 
collection and or maintenance of inform ation protected by the Privacy Act of 1974 authorized by 
Department of Defense Directive (DoDI) 5400.11, DoD Privacy and Civil Liberties Program .",DAFI36-2903 — dafi36-2903 — section.rograms. This instruction applies — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
61,What AFI governs dress and appearance standards?,"lic  and its 
elected  representatives draw  certain  conclusions  on military  effectiveness based  on the image  Airmen  
present. The image  of a disciplined  and committed  Airman  instills  public  confidence  that Airmen  live 
by a common  standard  and respond to military  order  and discipline. Every  Airman  has a responsibility  
to maintain  a professional  military  image  as identified  in this DAFI. Grooming and Appearance Standards  
 
(Changed)  3.1. Personal  Grooming  Standards. This  chapter  outlines  personal  grooming standards 
while  wearing  any Air  Force uniform  or civilian  clothing  in an official  capacity.",DAFI36-2903 — dafi36-2903 — section.lic  and its — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
62,What guidance governs professional appearance in clinical settings?,"l grooming standards while 
wearing any Air Force uniform or civilian clothing in an official capacity. Commander’s 
discretion will be used to determine if individual’s personal grooming is within standards of this 
instruction. The personal grooming standards listed are minimum standards that represent 
common appearance issues and are not  all-inclusive. Although Airmen have the right, within 
established limits, to express their individuality  through their appearance, the Air Force defines 
what is and what is not an acceptable, professional military image for Airmen. Except for minor 
variations based on gender differences, all Air Force personnel must comply with the same 
personal grooming st andards. Supervisors have the responsibility to determine compliance with 
this DAFI and to correct the obvious violations regardless of whether the situation identified is 
clearly written in this DAFI.",DAFI36-2903 — dafi36-2903 — section.l grooming standards while — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
63,Who has authority to enforce dress standards in an MTF?,"the 
button front edge of the shirt, the outside of the belt buckle (when required) and the edge of the fly 
will align. This alignment creates a gig line. (DELETED) Self-identified gender  
 
(DELETED) Real Life Experience  
 
(DELETED) Service Central Coordination Cell  
 
(DELETED) Transgender Health Medical Evaluation Unit  
  
(DELETED) Transgender   
 
Attachment 2  (DELETED) 
 
 

BY ORDER OF THE  
SECRETARY OF THE AIR FORCE  
 DEPARTMENT OF THE AIR FORCE 
INSTRUCTION 36 -2903  
29 FEBRUARY 202 4 
Corrective Actions Applied on  
13 March 2024  
Personnel  
DRESS AND PERSONAL APPEARANCE 
OF DEPARTMENT OF THE AIR 
FORCE PERSONNEL  
COMPLIANCE WITH THIS PUBLICATION IS MANDATORY  
 
ACCESSIBILITY:  Publications and forms are available on the e -Publishing website at 
www.e -Publishing.af.mil  for downloading or ordering. RELEASABILITY:  There are no releasability restrictions on this publication. OPR:  AF/A1PA  Certified by: SAF/MR 
Supersedes:  DAFI 36 -2903, 7 February 2020  Pages: 150 
 
 
This instruction implements Department of the Air Force Policy Directive (DAFPD) 36 -29, 
Military Standards . It provides responsibilities and standards for dress and personal a",DAFI36-2903 — dafi36-2903 — section.the — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
64,What instruction governs standards of conduct for Airmen?,"This instruction implements Department of the Air Force Policy Directive (DAFPD) 36 -29, 
Military Standards . It provides responsibilities and standards for dress and personal appearance of 
all Department of the Air Force personnel and, consistent with Department of Defense Instruction 
(DoDI) 1300.17, Religious Liberty in the Military Services,  9.12.2.14.4.1. provides guidance for 
religious accommodation requests. This publication applies to Department of the Air Force civilian 
and contract employees and uniformed members of the United States Space Force (USSF), the 
Regular Air Force (RegAF), the Air Force Rese rve (ResAF), and the Air National Guard (ANG) 
and retired and separated personnel. In collaboration with the Chief of Air Force Reserve (AF/RE), 
Director of the Air National Guard (NGB/CF), Deputy Chief of Space Operations for Human 
Capital (SF/S1), the De puty Chief of Staff for Manpower, Personnel, and Services (AF/A1) 
develops personnel guidance for dress and personal appearance programs. This instruction applies 
to USSF members unless and until separate service guidance is published.","DAFI36-2903 — dafi36-2903 — section.This instruction implements Department of the Air Force Policy Directive (DAFPD) 36 -29, — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf",OK,Extracted from top-ranked chunks.
65,What policy governs commander authority over standards enforcement?,"der (on G -Series Orders) or Equivalent. All references to commander 
authority, throughout this instruction, includes civilian leaders as authorized by public law and the 
Uniform Code of Military Justice (UCMJ). 16 DAFI36 -2903  29 FEBRUARY 2024  
2.14.1. Enforces dress and personal appearance standards in accordance with Department of 
Defense and Air Force instruction for wear of military uniforms or civilian clothes when 
authorized to be worn on -duty. Commander’s discretion will be used to determine if  
individuals are within standards of this instruction and provide guidance when standards are 
reasonably unclear. Commanders are responsible for setting the dress and appearance 
standards not outlined in this instruction without lessening establishe d standards.",DAFI36-2903 — dafi36-2903 — section.der (on G -Series Orders) or Equivalent.   All references to commander — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
66,What AFI addresses customs and courtesies?,"a modest kiss or embrace, may be permitted in situations where physical 
contact is commonly accepted etiquette such as weddings, graduations, promotions, or 
retirement ceremonies; and upon departu re for or return from deployments. When in uniform or civilian clothes (in an official capacity) the following actions are 
prohibited while walking or in a formation, including organized or unit physical training. Note:  Members should also consult AFI 34 -1201, Protocol, for protocol, customs, and 
courtesies. Will not  smoke or use smokeless products in other than designated smoking 
areas. Will not consume food while walking in uniform. Beverage consumption is 
authorized.","DAFI36-2903 — dafi36-2903 — section.a modest kiss or embrace, may be permitted in situations where physical — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf",OK,Extracted from top-ranked chunks.
67,What guidance governs wear of occupational badges?,"Weapons and Tactics 
Programs , paragraph  6.2.. Additional Badge Information. Miniature and regular size occupational badges may not be worn together; A regular 
size duty badge is not worn with a miniature duty badge Exception:  Miniature wings may be 
worn with a regular size occupational badge, or regular size medical badge. Only highly polished badges are worn. Exception:  Oxidized/satin finished “Heritage 
Wings” may be worn. Duty badges are available in two sizes; regular and miniature.",DAFI36-2903 — dafi36-2903 — section.Weapons and Tactics — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
68,What instruction governs grooming standards?,"l grooming standards while 
wearing any Air Force uniform or civilian clothing in an official capacity. Commander’s 
discretion will be used to determine if individual’s personal grooming is within standards of this 
instruction. The personal grooming standards listed are minimum standards that represent 
common appearance issues and are not  all-inclusive. Although Airmen have the right, within 
established limits, to express their individuality  through their appearance, the Air Force defines 
what is and what is not an acceptable, professional military image for Airmen. Except for minor 
variations based on gender differences, all Air Force personnel must comply with the same 
personal grooming st andards. Supervisors have the responsibility to determine compliance with 
this DAFI and to correct the obvious violations regardless of whether the situation identified is 
clearly written in this DAFI.",DAFI36-2903 — dafi36-2903 — section.l grooming standards while — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
69,What policy governs uniform wear in deployed settings?,"exception to this wear policy requests policy 
through the applicable HAF career field manger to the AF/A1PA Workflow Box 
AF.A1PA.workflow@us.af.mil  for processing. Maintenance Duty Uniform (MDU). Commanders of Airmen in these AFSCs 1D, 
2A, 2F, 2G, 2M, 2P, 2S, 2T, 2W, 3E, and 1P may authorize Airmen to wear the sage MDU. The sage color MDU will be unit funded as organizational clothing and equipment. MDU will 
be worn with name tape, service tape and rank along with the higher headquarters patch on the 
left sleeve and a subdued U.S. flag and organizational patch on the right sleeve.",DAFI36-2903 — dafi36-2903 — section.exception to this wear policy requests policy — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
70,What AFI governs professional relationships?,"Education, Accreditation Council for Graduate Medical Educa tion ( ACGME), the American 
Dental Association Commission on Dental Accreditation, The Joint Commission Accreditation 
Manuals; published standards of the American Nurses Association ( ANA) for nursing services, 
practice and care; published standards of oth er national professional nursing organizations; and 
Department of Defense/Defense Health Agency policies. It establishes policy, assigns 
responsibilities and prescribes procedures for Air Force medical officer education programs. This 
instruction applies t o all medical service officers of the Regular Air Force, Air Force Reserve, and 
Air National Guard. This publication does not apply to the United States Space Force. This Air 
Force Instruction ( AFI) may be supplemented at any level, but all supplements t hat directly 
implement his publication must be routed to AF/SG1D, Medical Force Development, for 
coordination prior to certification and approval. The authorities to waive wing or unit level 
requirements in this publication are identified with a Tier (“ T-0, T-1, T-2, T-3”) number following 
the compliance statement.","AFI41-117 — afi41-117 — section.Education, Accreditation Council for Graduate Medical Educa tion ( ACGME), the American — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf",OK,Extracted from top-ranked chunks.
71,What guidance governs civilian dress code in medical facilities?,"This instruction implements Department of the Air Force Policy Directive (DAFPD) 36 -29, 
Military Standards . It provides responsibilities and standards for dress and personal appearance of 
all Department of the Air Force personnel and, consistent with Department of Defense Instruction 
(DoDI) 1300.17, Religious Liberty in the Military Services,  9.12.2.14.4.1. provides guidance for 
religious accommodation requests. This publication applies to Department of the Air Force civilian 
and contract employees and uniformed members of the United States Space Force (USSF), the 
Regular Air Force (RegAF), the Air Force Rese rve (ResAF), and the Air National Guard (ANG) 
and retired and separated personnel. In collaboration with the Chief of Air Force Reserve (AF/RE), 
Director of the Air National Guard (NGB/CF), Deputy Chief of Space Operations for Human 
Capital (SF/S1), the De puty Chief of Staff for Manpower, Personnel, and Services (AF/A1) 
develops personnel guidance for dress and personal appearance programs. This instruction applies 
to USSF members unless and until separate service guidance is published.","DAFI36-2903 — dafi36-2903 — section.This instruction implements Department of the Air Force Policy Directive (DAFPD) 36 -29, — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf",OK,Extracted from top-ranked chunks.
72,What instruction governs corrective action for standards violations?,"ediately impound equipment (do not change the settings) and consumables 
involved in a patient safety incident, notify the maintenance activity and conduct an incident 
report IAW paragraph 9.13 . Clean equipment IAW infection control policies, see AFI 44 -108 prior to, and after 
routine maintenance. Scheduled Maintenance. Perform scheduled maintenance IAW the individual equipment device code. The maintenance activity will not extend maintenance intervals for WRM or 
contingency equipment. For equipment that cannot be removed from the area of service in a deployed location 
(i.e., fixed or hard -wired device, failure to meet scheduled maintenance safety standards), affix 
a AF Form 979, Danger Tag , to the equipment until the problem is corrected IAW Title 29 
CFR, Chapter 17, Subpart J, General Environmental Controls , Section 1910.145, 
Specifications for Accident Prevention Signs and Tags .",DAFI41-230 — dafi41-230 — section.ediately impound equipment (do not change the settings) and consumables — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
73,What policy governs social media conduct?,"<th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2010/06/25/OMB-Memorandum-M-10-23-Guidance-for-Agency-Use-of-Third-Party-Websites-and-Applications"" target=&quot;_blank&quot;>OMB Memorandum M-10-23, Guidance for Agency Use of Third-Party Websites and Applications</a>

                                            </td>

                                                                            <td>OMB Memorandum M-10-23, Guidance for Agency Use of Third-Party Websites and Applications</td>

                                    <td>This Memorandum requires Federal agencies to take specific steps to protect individual privacy whenever they use third-party websites and applications to engage with the public.</td>

                                    <td>06/25/2010</td>

                                        <td>OMB</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th> </td>

                                                                            <td>Research Integrity and Misconduct</td>

                                    <td>This Instruction supplements the policy established by paragraph 4.8. of reference (a) and implements subparagraph 5.1.5. of reference (a) by specifying detailed procedures and standards for the Department of Defense for the prevention of research misconduct. This Instruction is consistent with the &quot;Federal Policy on Research Misconduct&quot; (reference (b)), which calls upon those Federal Agencies that support or conduct research on an intramural or extramural basis to issue policies and procedures that conform to the Federal policy. </td>

                                    <td>05/14/2004</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/","DHA Policies Directory — DHA Policies Directory — section.<th scope=""row"">Memorandum</th> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.</td> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
74,What AFI governs leadership expectations for officers?,"ir Force 
(SecAF) to distinguish it from the uniform worn by Regular Air Force (RegAF), Air National 
Guard (ANG), and Air Force Reserve (AFR) Airm en. The uniform prescribed will not include 
insignia of rank the same as, or similar to, those prescribed for officers in the Army, Navy, Air 
Force, or Marine Corps. Officers may wear the rank insignia of the next higher rank if frocked to that 
rank. Refer to Title 10 United States Code Section 777 for details on being frocked to the next 
higher rank. For ANG State Adjutant Generals, see paragraph 14.2.5 . Chief Master Sergeant 
selects may wear rank insignia of the higher grade if frocked” to that rank.",DAFI36-2903 — dafi36-2903 — section.ir Force — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
75,What instruction governs awards and decorations?,"s wearing other US military decorations and 
service medals. When authorized more than one decoration, wear them in the order earned. If authorized more than one foreign decoration from the same country, wear them in 
the order the country prescribes. On special occasions and as a matter of courtesy to a given country, Airman may wear 
the decorations of that country ahead of all other foreign decorations. Non-Air Force Service Awards. ANG members wear state decorations when serving in state status, but not while on 
federal active duty.",DAFI36-2903 — dafi36-2903 — section.s wearing other US military decorations and — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
76,What policy governs mentoring programs?,"The DME, working with the program directors and the Graduate Medical Education Committee 
(GMEC), develops this policy, and the MTF Director/ CC approves it. AFI41 -117  31 AUGUST 2023  7 
1.6. Correspondence with Civilian Organizations. MTF Director/ CC, DMEs , and program 
directors may correspond directly with national civilian organizations concerning accreditation of 
current or proposed education programs conducted in the MTF, in accordance with DHA policy, 
and must ensure organization is not under a corpo rate integrity agreement or on the Inspector 
General Sanction List. ( T-0) This correspondence cannot alter or circumvent USAF directives on 
health education. GMEC must record correspondence in the minutes.",AFI41-117 — afi41-117 — section.-1). — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf,OK,Extracted from top-ranked chunks.
77,What guidance governs fitness standards?,"NALLY SPECIFIC PHYSICAL FITNESS ASSESSMENT 
ESTABLISHMENT PROCEDURES   66 
 

6 DAFMAN36 -2905  21 APRIL 2022  
Chapter 1  
GENERAL INFORMATION  
1.1. The goal of the Physical Fitness Program ( PFP) is to motivate all members to 
participate in a year -round physical conditioning program that emphasizes total fitness, to include 
proper cardiorespiratory conditioning, muscular endurance training, and healthy eating. An active 
lifestyle increases pr oductivity, optimizes health, and decreases absenteeism while maintaining a 
higher level of readiness. All references to United States Air Force (USAF) terminology, units, 
grades, and positions wi ll also apply to the equivalent in USSF, as appropriate, until such time as 
the USSF provides its own independent guidance. For example, references to Airmen or RegAF 
members will apply to Guardians. References to a major command ( MAJCOM) or numbered air 
force (NAF) will apply to field commands.",DAFMAN36-2905 — dafman36-2905 — section.NALLY SPECIFIC PHYSICAL FITNESS ASSESSMENT — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman36-2905.pdf,OK,Extracted from top-ranked chunks.
78,What instruction governs commander responsibility for morale?,"der (on G -Series Orders) or Equivalent. All references to commander 
authority, throughout this instruction, includes civilian leaders as authorized by public law and the 
Uniform Code of Military Justice (UCMJ). 16 DAFI36 -2903  29 FEBRUARY 2024  
2.14.1. Enforces dress and personal appearance standards in accordance with Department of 
Defense and Air Force instruction for wear of military uniforms or civilian clothes when 
authorized to be worn on -duty. Commander’s discretion will be used to determine if  
individuals are within standards of this instruction and provide guidance when standards are 
reasonably unclear. Commanders are responsible for setting the dress and appearance 
standards not outlined in this instruction without lessening establishe d standards.",DAFI36-2903 — dafi36-2903 — section.der (on G -Series Orders) or Equivalent.   All references to commander — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
79,What AFI governs professional military education?,"................................ .................... 8 


AFI41 -117  31 AUGUST 2023  3 
2.3. Air Force Personnel Center/Chief, Medical Career Management (AFPC/DPMN). Air Force Institute of Technology (AFIT) Healthcare Education Division. 711 Human Performance Wing/United States Air Force School of Aerospace 
Medicine.",AFI41-117 — afi41-117 — section............ ................................ ....................   8 — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf,OK,Extracted from top-ranked chunks.
80,What guidance governs ethical decision-making in leadership?,INSUFFICIENT EVIDENCE,,INSUFFICIENT_EVIDENCE,No sufficiently relevant chunks or not enough extractable sentences.
81,What instruction governs clinical quality management?,"quality assurance and/or risk management, refer to DHA -PM 
6025.13, C linical Quality Management in the Military Health System. Air Force Medical Service Education Program Directors. Guidance on the MTF Director/ CC, in conjunction with the GMEC, appointing 
program directors for USAF GME programs is provided in DHAPI 1025.04. ACGME 
recognized consortium’s procedures should be followed where applicable. Program directors 
have board certification in t he program specialty and possess qualifications acceptable to the 
ACGME. Air Force associate program directors of joint and civilian training programs should 
be managed under this instruction.","AFI41-117 — afi41-117 — section.quality assurance and/or risk management, refer to DHA -PM — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf",OK,Extracted from top-ranked chunks.
82,Who oversees peer review processes?,................................ ................................ ................................ ................................ .................... MTF Director/CC Review.,AFI41-117 — afi41-117 — section............. ................................ ..........   42 — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf,OK,Extracted from top-ranked chunks.
83,What policy governs adverse event reporting?,"<td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/1999/10/15/Policy-for-Reporting-Adverse-Events-Associated-with-the-Anthrax-Vaccine"" >99-031</a>

                                            </td>

                                                                            <td>Policy for Reporting Adverse Events Associated with the Anthrax Vaccine</td>

                                    <td>Policy for Reporting Adverse Events Associated with the Anthrax Vaccine</td>

                                    <td>10/15/1999</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td> <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/05/21/Revised-Service-Guidelines-for-Reportable-Medical-Events"" ></a>

                                            </td>

                                                                            <td>Revised Service Guidelines for Reportable Medical Events</td>

                                    <td>The Armed Forces Health Surveillance Center and a Public Health Forum working group developed revisions to the Reportable Medical Events Guidelines used by the Services.</td>

                                    <td>05/21/2012</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/05/14/Revised-Policy-for-Active-Duty-Health-Professions-Financial-Assistance-Program-Stip <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/13/Policy-on-Reporting-Joint-Commission-on-Accreditation-of-Healthcare-Organizations-Reviewable-Sentine"" >04-018</a>

                                            </td>

                                                                            <td>Policy on Reporting Joint Commission on Accreditation of Healthcare Organizations-Reviewable Sentinel Events in the Military Health System</td>

                                    <td>Policy on Reporting Joint Commission on Accreditation of Healthcare Organizations-Reviewable Sentinel Events in the Military Health System</td>

                                    <td>07/13/2004</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/12/Poli in Reference (b), members of the Uniformed Services are entitled to medical and dental care in military treatment facilities and also in private facilities (purchased care) using Supplemental Health Care Program funds. </td>

                                    <td>02/21/2012</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/02/13/Amplifying-Guidance-Relating-to-the-Reporting-of-Sentinel-Events-and-Personally-Identifiable-Informa"" >HA-Policy 12-003</a>

                                            </td>

                                                                            <td>Amplifying Guidance Relating to the Reporting of Sentinel Events and Personally Identifiable Information Breaches to the Office of the Assistant Secretary of Defense (Health Affairs)</td>

                                    <td>This memorandu Section as those reports are located in the Bidirectional 
Health Inf ormation Exchange (BHIE) data system.",DHA Policies Directory — DHA Policies Directory — section.<td>Health Affairs</td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies,OK,Extracted from top-ranked chunks.
84,What guidance governs risk management programs?,"quality assurance and/or risk management, refer to DHA -PM 
6025.13, C linical Quality Management in the Military Health System. Air Force Medical Service Education Program Directors. Guidance on the MTF Director/ CC, in conjunction with the GMEC, appointing 
program directors for USAF GME programs is provided in DHAPI 1025.04. ACGME 
recognized consortium’s procedures should be followed where applicable. Program directors 
have board certification in t he program specialty and possess qualifications acceptable to the 
ACGME. Air Force associate program directors of joint and civilian training programs should 
be managed under this instruction.","AFI41-117 — afi41-117 — section.quality assurance and/or risk management, refer to DHA -PM — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf",OK,Extracted from top-ranked chunks.
